be/26ZyRAlgR_Q  Suivez et participez avec le hashtag #MelenchonMarseille         33  159  342    Retweeted           Nouvelle Union Populaire Écologique et Sociale        @NUPES_2022_    ·  Jun 10   Dimanche, votez pour les candidats de la #NUPES en choisissant le bulletin de vote avec le V de la victoire ! #VcommeVictoire         Parti socialiste and 7 others  28  179  375    Retweeted           L'insoumission      @L_insoumission    ·  Jun 10   Mélenchon devance Macron : le parti médiatique panique #NUPES #VcommeVictoire           linsoumission	JLMelenchon
                70  332  1,308    Retweeted           France Diplomatie        @francediplo    ·  May 30       Organisation du gouvernement - France       @    a tenu une conférence de presse avec son homologue ukrainien   @DmytroKuleba   à #Kiev à la mi-journée	MinColonna
 Ils ont tiré 10 fois	JLMelenchon
 » —   @MinColonna           Retweeted           Guillaume Gouffier      @G_GouffierCha    ·  May 23  Merci      pour sa présence à mes côtés hier à #Vincennes pour son 1er déplacement en tant que ministre	CZacharopoulou
  Quote Tweet     BFMTV  @BFMTV   · Jun 9  S'il est élu député, Éric Zemmour (@zemmoureric) proposera une loi pour l'interdiction des associations "LGBT, féministes, antiracistes" dans les écoles publiques  293K views  0:01 / 3:28  3  20  62    Retweeted           Pascal Canfin      @pcanfin    ·  Jun 9  Un pas de + pour construire une Europe puissance : le Parlement  vient d'adopter définitivement une loi qui empêche que des entreprises non européennes accèdent à nos marchés publics si la réciproque n’est pas vraie	CBeaune
 Il y a un problème avec la doctrine	JLMelenchon
  @GabrielAttal  : "On porte un projet profondément républicain, là où la Nupes et le Rassemblement national, à bien des égards, s'éloignent de la République	CZacharopoulou
 #Macron hors d'état de nuire"	JLMelenchon
Face à la nouvelle intensité de ces combats idéologiques, la #France & l’#Europe doivent choisir leurs interdépendances	CZacharopoulou
 #NUPES  Visit youtube	JLMelenchon
  Carousel  COVID-19: health experts  COVID-19  Space agencies & companies  Harvard University  Trevor Noah  Aviation  Lionel Messi  Nonprofits  Stephen Colbert  Washington DC  Financial services  Zinedine Zidane  New York City  COVID-19: government & public officials  Business personalities  Nobel Prize  Machine learning  Ultramarathon  University of Oxford  Saturday Night Live  Vitalik Buterin  Biotech & biomedical  New York State  Yale University  California  BBC Radio 1  Telecom  UEFA Europa League  Automobile Brands  Tech industry       Retweeted           Amélie de Montchalin      @AdeMontchalin    ·  Jun 13  J’appelle les républicains de gauche et de droite à faire barrage dimanche à l’extrême-gauche, et à ceux qui s’y sont soumis pour des circonscriptions	CZacharopoulou
com/i/broadcasts/1ypJdEvnpOoxW…  4  26  46    Retweeted           Élisabeth BORNE      @Elisabeth_Borne    ·  May 23       Officiel du gouvernement - France    Elie Buzyn est de ceux qui ont permis à la France de ne pas oublier	MinColonna
10 p	MinColonna
6K       Retweeted           Bruno Le Maire      @BrunoLeMaire    ·  Jun 1  Cette période est difficile pour les Français	CZacharopoulou
 Toutes mes pensées vont à sa famille, à ses collègues et aux journalistes	MinColonna
fr  Décès d'Elie Buzyn    75  228  1,180    Retweeted           Pascal Thibaut      @pthibaut    ·  May 23  Première rencontre demain à Berlin entre la ministre des Affaires étrangères allemande   @ABaerbock  et sa nouvelle homologue française   @   2  28  71                  @     ·  May 22              Chère   @ABaerbock  , j'ai été très heureuse de notre premier entretien et j'attends avec impatience notre future rencontre	MinColonna
 #VcommeVictoire           melenchon	JLMelenchon
 #CoFoE #EuropeDay22 #Macron #Strasbourg  1,015 views  0:01 / 0:31  24  72       Retweeted           Élysée      @Elysee    ·  May 9       Organisation du gouvernement - France    À Strasbourg, le Président   @EmmanuelMacron  appelle les Européens à engager les réflexions sur une nouvelle Communauté politique européenne	CZacharopoulou
  4  74  199    Show this thread                    @     ·  Jun 9  Monsieur #Macron n'aura pas eu un mot pour les personnels hospitaliers, il n'a pas eu un mot pour les diplomates qui ont fait une grève massive, pas un mot pour les élèves de la nouvelle ENA	JLMelenchon
  225  253  1,218    Show this thread         Retweeted           Renaissance      @Renaissance_UE    ·  May 30  « Un journaliste français a été tué alors qu’il faisait son travail, c’est un drame	CZacharopoulou
 Chaque journée de ce quinquennat sera utile	franckriester
    63  358  696                  @     ·  Jun 10            Deux exemples parmi tant d’autres	CBeaune
 Macron ou 67 ans avec M	JLMelenchon
 #MelenchonMarseille #VcommeVictoire  Visit youtube	JLMelenchon
 Un autre monde est encore possible	JLMelenchon
" #le79inter  27	CZacharopoulou
” said   @CZacharopoulou  (  @francediplo_EN  ) at our Spring Meeting session dedicated to finding solutions to the looming global #foodcrisis  http://bit	MinColonna
 Bien sûr il siégera au groupe PS, membre de la Nupes	JLMelenchon
leparisien	CZacharopoulou
 »   @mbompard  #MelenchonMarseille #VcommeVictoire  Visit youtube	JLMelenchon
 #AvecLaNUPES #France2022         105  284  1,038                  @     ·  Jun 9  Séquence infâme de #France2 sur le thème la faute à Mélenchon et vive la présomption de légitime défense	JLMelenchon
 Notre travail est de rappeler l'importance de cette élection : elle représente un troisième tour, une opportunité historique	JLMelenchon
2K views  0:01 / 0:35  40  225  528                  @     ·  Jun 10  « Dimanche, vous pouvez voter pour le SMIC à 1500 euros net, le blocage des prix, la retraite à 60 ans, la planification écologique et la 6ème République	JLMelenchon
 Partagez avec #NUPES	JLMelenchon
be  18	JLMelenchon
 #PFUE2022  2,487 views  0:01 / 7:46  2  24  50                  @      ·  Jun 2            Heureux de retrouver mon homologue néerlandaise   @LSchreinemacher  à la veille du Conseil #Commerce de Luxembourg	franckriester
 Par exemple ce qu'il dit sur la #Russie	JLMelenchon
 Avec   @franckriester  @CBeaune     , engagés ensemble pour contribuer à apaiser les désordres du monde         France Diplomatie    63  347  1,656                           ·  May 19            #Vangelis, le grand compositeur grec vient de nous quitter	CZacharopoulou
   @AQuatennens  #AvecLaNUPES #France2022     From     Adrien Quatennens    280  937  2,951                  @     ·  Jun 9  Salle de suivi de l'émission par les équipes de la #NUPES	JLMelenchon
 Quelques mois plus tard les députés insoumis déposaient des amendements pour l’enlever	CBeaune
1K views  9  18                             ·  May 9            «Ce que nous vous remettons, c'est le fruit de mois de sacrifices & d'engagements	CZacharopoulou
 Face à l’agression russe en #Ukraine, fermeté et unité sont indispensables pour la sécurité euro-atlantique	MinColonna
 Philippe ? Nous, c'est 60 ans	JLMelenchon
  5,239 views  0:01 / 1:56  44  114  246                  @     ·  Jun 13            Juste une mise au point… #PasDupes  Quote Tweet     Olivier Blanchard  @ojblanchard1   · Jun 11  J'ai peur que les économistes de NUPES aient mal compris la signification de multiplicateurs supérieurs a 1	CBeaune
1K                  @     ·  Jun 13  Exemple de candidat non comptabilisé par Darmanin au compte de la #NUPES	JLMelenchon
         654  730  4,583    Retweeted           Nouvelle Union Populaire Écologique et Sociale        @NUPES_2022_    ·  Jun 10   Vous voulez que   @   soit Premier Ministre ?  Dimanche, votez pour les candidats #NUPES ! #VcommeVictoire         138  377  982                  @     ·  Jun 10  Dimanche, on peut changer l'histoire de notre pays	JLMelenchon
 Nous travaillons ensemble pour faire du #Sahel un espace de paix & de démocratie	CZacharopoulou
 Mais la France est le pays de l'UE où l'inflation est la plus faible	CZacharopoulou
  37  220  541    Show this thread                    @     ·  Jun 9  Ce n'est pas au président de la République de faire une campagne législative que ses proches ne veulent pas mener	JLMelenchon
 Plein soutien à tous les pompiers qui luttent pour la sécurité de tous! Ces actes de violences doivent être sévèrement punis	CZacharopoulou
         Außenministerin Annalena Baerbock and 3 others  18  104  534    Retweeted           France Diplomatie        @francediplo    ·  May 24       Organisation du gouvernement - France     Direct |   Conférence de presse conjointe de   @   et   @ABaerbock  Quote Tweet     GermanForeignOffice  @GermanyDiplo       Germany government organization     · May 24  Coming up here at +/- 4	MinColonna
 Il n'est pas là pour essayer de faire flotter le radeau de la Méduse	JLMelenchon
 Aux Présidents   @Macky_Sall  et   @AUC_MoussaFaki  ce soir, j’ai redit mon engagement total	CZacharopoulou
           melenchon	JLMelenchon
 #Nupes  Visit youtube	JLMelenchon
	CBeaune
1M views  2,070  6,342  34	MinColonna
fr  Scandale : comment les macronistes bidouillent les résultats des législatives - L'insoumission  Le ministère de l'Intérieur a bidouillé les résultats du 1er tour des élections législatives pour que la macronie arrive artificiellement en tête face à la    130  801  1,569                  @     ·  Jun 13  Exemple de manipulation des résultats	JLMelenchon
 Il a dirigé des campagnes présidentielles qui nous ont amenées à 19,6% et 22%	JLMelenchon
  8,764 views  0:00 / 0:27  69  125  282                  @      ·  Jun 9            Merci à toi chère   @MariePierreV  ainsi qu’à la délégation   @RenaissanceUE  pour votre mobilisation sur cette priorité portée par la France ! #PFUE2022     Quote Tweet     Renaissance  @Renaissance_UE   · Jun 9   Nouvelle victoire #PFUE2022 ! Après 10 ans de blocage, l’  adopte enfin l’instrument sur la réciprocité sur les marchés publics	franckriester
 #WeStandWithUkraine           and 4 others  52  256  851                  @     ·  May 30              Aux côtés du maire et du gouverneur de Boutcha, pour dire au nom de la France notre plus profonde condamnation et notre horreur des exactions russes, rendre hommage aux victimes et soutenir la lutte contre l'impunité	MinColonna
  28  292  1,001                  @     ·  May 30              Avec mon ami   @DmytroKuleba  devant le mur aux morts pour l'#Ukraine	MinColonna
 #Mécary parle de « battage médiatique » autour de l’affaire Sarah Halimi, il y a un problème au regard des principes républicains	CBeaune
 Je pense souvent à elle et à la puissance reconfortante de ses chansons, à ce deuil étrange qu’elle sait mettre en musique comme personne et qui sait ramener un peu les morts à la vie	CBeaune
fr/sayG         5  30  91       Retweeted           Catherine Colonna      @MinColonna    ·  May 21       France government official    Immense honneur d’entamer cette mission à la tête de   @francediplo  avec toutes celles & tous ceux qui travaillent chaque jour au service de la France  de par le monde	CZacharopoulou
 Je me réjouis de pouvoir travailler avec toi au renforcement de la souveraineté européenne dans le cadre de la présidence française du conseil de l’UE #PFUE2022           	MinColonna
ts | En cette journée mondiale du #DonDeSang  , rappelons que la majorité a mis fin à une inégalité en permettant aux homosexuels de donner leur sang, sans condition  Un combat pour l’égalité que nous devons poursuivre ! Pour donner votre sang             dondesang	CBeaune
  1,610  13K  47	JLMelenchon
 Les Unes montrant   prêt à détruire le pays, ne se    138  609  1,392    Retweeted           La France insoumise      @FranceInsoumise    ·  Jun 10   Ce dimanche 12 juin, choisissez le bulletin avec le V de la victoire et élisez #Melenchon1erMinistre ! #NUPES           Retweeted           La France insoumise      @FranceInsoumise    ·  Jun 10   Ce vendredi 10 juin, rendez-vous à 18h30 pour une prise de parole de   @   à #Marseille !  Rejoignez l'évènement #MelenchonMarseille sur : https://fb	JLMelenchon
 Il va renforcer la souveraineté de l'Europe                          @     ·  May 30              Merci Président   @ZelenskyyUa  de votre accueil chaleureux	MinColonna
 Notre projet est le seul projet pro-européen	CZacharopoulou
E   @IssoufouMhm  , ancien président du Niger, sur son engagement pour la #GrandeMurailleVerte, l’agriculture résiliente, l’#éducation des filles et la #sécurité	CZacharopoulou
 » —   @PDurandOfficiel  2,874 views  0:00 / 1:22  17  36  101       Retweeted           Emmanuel Macron      @EmmanuelMacron    ·  May 10            En mars, nous avons lancé une initiative pour faire face aux conséquences de la guerre en Ukraine sur la sécurité alimentaire mondiale	CZacharopoulou
com  28	JLMelenchon
com  EN DIRECT - Prise de parole de   - #NUPES  Rendez-vous ce jeudi 9 juin vers 16h pour une prise de parole de   en direct	JLMelenchon
 #NUPES     youtube	JLMelenchon
 Jeter l’opprobre sur eux est indigne	CBeaune
        gouvernement	MinColonna
  @   : "La planification écologique, contrairement à ce qu'on dit, Emmanuel Macron ne l'a pas découverte entre les deux tours	CBeaune
 #Macron tient un discours d'affolement contre la #NUPES, vieux de 45 ans, qui ne sert à rien	JLMelenchon
 Car c'est ce qu'a dit à mon propos M	JLMelenchon
 Partagez avec #NUPES	JLMelenchon
L’UA poursuivra sa concertation avec l’UE	CZacharopoulou
 Nous avons discuté de la coopération   , de notre étroite coordination européenne  #PFUE et du soutien à l'#Ukraine	MinColonna
   @mbompard  #MelenchonMarseille #VcommeVictoire                    @     ·  Jun 10   Adoption sociale, familles et entraide - Retrouvez ma nouvelle note de blog à découvrir et partager	JLMelenchon
fr  Adoption sociale, familles et entraide - Melenchon	JLMelenchon
 Deux points tout simples (bien sûr, il y a beaucoup de complications potentielles que j’ignore ici):  Show this thread  10  42  143                  @     ·  Jun 12            Merci à toutes les électrices et tous les électeurs qui m’ont fait confiance dès aujourd’hui dans la 7ème circonscription de #Paris	CBeaune
 #MelenchonFrance2 #NUPES         143  577  1,665                  @     ·  Jun 13   Ce mardi 14 juin, rendez-vous à 19h pour un meeting de la #NUPES à #Toulouse !  Rejoignez l'évènement #MelenchonToulouse sur : https://fb	JLMelenchon
6K    Retweeted           L'insoumission      @L_insoumission    ·  Jun 10   Pour avoir Mélenchon à Matignon : le bulletin « V » comme Victoire #VcommeVictoire                           @     ·  Jun 10  Les macronistes ont refusé toute discussion	JLMelenchon
 Quand C	CBeaune
 As FM I will endeavour to further strenghten the friendly ties between our 2 countries	MinColonna
 Je renouvelle mes sincères condoléances à sa famille et ses amis	MinColonna
 #France2022  46	CBeaune
 C'est tout ce qui manque à cette équipe macroniste	JLMelenchon
fr  Avant de quitter mon banc de député, j’ai déposé une dernière proposition de loi	JLMelenchon
 Dimanche, on vote! #legislatives   Quote Tweet     Sabine Thillaye  @SabineThillaye   · Jun 10  Aux cotés de @ , notre nouvelle ministre des affaires étrangères entourée des candidats de la majorité présidentielle aux #legislatives2022  ce jour en Touraine	MinColonna
 Il permet d’assurer à nos entreprises une concurrence juste et équitable sur les marchés publics de l’ 	franckriester
 Une visite symbolique forte	CZacharopoulou
 Plongée dans le temps profond, ‐ 35 000 ans avant le présent	JLMelenchon
 Bravo à l’équipe municipale et au comité des fêtes pour cette belle initiative de valorisation des acteurs locaux !      	franckriester
tv/  Et sur YouTube : https://youtu	JLMelenchon
 Du kannst mit meinem Engagement zugunsten der  -  Zusammenarbeit rechnen, die im Dienste Europas & der großen internationalen Herausforderungen steht  7  91  444    Show this thread                    @     ·  May 21              Merci cher   @JosepBorrellF  pour ces premiers échanges chaleureux	MinColonna
 S'il n'y avait pas la France, il n'y aurait pas un engagement européen pour être neutre en émissions de gaz en 2050" #le79Inter #législatives2022   6,132 views  0:01 / 1:02  47  56  122                  @     ·  11h            Une majorité pour agir              lejdd	CBeaune
 Le projet d’une Europe maîtresse de son destin, libre de ses choix, puissante et ouverte au monde	CZacharopoulou
 Cette femme de 21 ans méritait de mourir ? »	JLMelenchon
 Une série de mes amis s’y sont joints	JLMelenchon
php?ts=1655207399337…                              86  278  675                  @     ·  2h   La bateau coule, Macron prend l'avion - Retrouvez ma nouvelle note de blog à découvrir et partager	JLMelenchon
 Je salue la solidarité du peuple moldave qui accueille de nombreux réfugiés ukrainiens	MinColonna
 #barbara         40  377  1,989                  @     ·  Jun 9            Échange passionnant et éclairant avec les   @Les_shifters  , sur une politique climatique qui nécessite d’investir dans toutes les énergies décarbonées et qui passe par l’Europe     @theShiftPR0JECT             	CBeaune
 Le chaos du marché et de l'austérité, c'est eux	JLMelenchon
 Partagez avec #NUPES	JLMelenchon
 Notre programme répond aux urgences et est chiffré	JLMelenchon
sante	CBeaune
  Quote Tweet     Emmanuel Macron  @EmmanuelMacron             · Mar 24  Pour éviter une crise alimentaire, il nous faut réagir	CZacharopoulou
be/kndm-SEyzKg  Participez avec le hashtag #NUPES         49  160  352                  @     ·  Jun 9  Macron s'est engagé à ramener le déficit de l'État à 3% en 2027	JLMelenchon
  3  104  255    Show this thread                    @     ·  Jun 9  Le propos de M	JLMelenchon
 La contribution du service public à la promotion de l'extrême-droite pour servir le macronisme est une honte	JLMelenchon
  3  18  123    Show this thread                    @     ·  Jun 2              On this wonderful occasion I wish Your Majesty a joyful #platinumjubilee  	MinColonna
	JLMelenchon
  40  249  716                  @     ·  May 30              Je suis profondément attristée & choquée par la mort de notre compatriote Frédéric Leclerc Imhoff, tué par un bombardement russe sur une opération humanitaire alors qu'il exerçait son devoir d'informer	MinColonna
             Présidence française du Conseil de l’UE   and 5 others  2  14  56                  @      ·  Jun 2            La Seine-et-Marne est une terre de confiance pour les entreprises comme   @STIHL  , qui a choisi d’implanter son site logistique à Quincy-Voisins et d’y créer des emplois	franckriester
 Ravie de poursuivre notre coordination étroite sur #Ukraine notamment  4  44  121    Show this thread                    @     ·  May 22              Dear   @SecBlinken  , delighted by this first discussion	MinColonna
3K views  0:00 / 0:09  20  126  321  Topics to follow  Sign up to get Tweets about the Topics you follow in your Home timeline	CBeaune
  728  4,916  17	JLMelenchon
 Obono, D	CBeaune
8K views  0:01 / 1:12  7  40  89       Retweeted           Prime Minister GR      @PrimeministerGR    ·  May 18  Félicitations à   @Elisabeth_Borne  pour sa nomination en tant que Première ministre de la République française ! Au plaisir de travailler avec elle pour approfondir davantage nos relations bilatérales stratégiques	CZacharopoulou
 Comme l’explique @MariePierreV, finie la concurrence déloyale des entreprises  ou  sur nos entreprises  	franckriester
  1,666  1,578  10	CZacharopoulou
 La majorité présidentielle n’a jamais manqué de clarté sur ce sujet	CZacharopoulou
 Avançons !                          Clara Chassaniol and 7 others  78  132  451    Retweeted           Antoine Gastinel      @AGastinel    ·  Jun 10  J’ai vu   @   à l’œuvre, bataillant en Europe pour faire avancer nos priorités: écologie, protection sociale, souveraineté économique	CBeaune
 Food security cannot be bargained for political purposes	CZacharopoulou
 Augmenter le point d’indice des fonctionnaires, augmenter les pensions des retraités, verser un chèque d’urgence aux plus modestes, prolonger le bouclier tarifaire énergétique, c’est juste et nécessaire	CBeaune
 twitter	CBeaune
                   @     ·  Jun 10              En #Touraine, avec les candidats de la majorité	MinColonna
  @PompiersParis  #manifestation #1erMai #fetedutravail  Quote Tweet     @PompiersParis  @PompiersParis   · May 1   Cela suffit ! Honte à la sauvagerie, incompréhensible cette nouvelle agression vis à vis des sapeurs-pompiers de Paris dans l’exercice de leurs fonctions, protéger les personnes, les biens de la Cité et le bon déroulement de la manifestation	CZacharopoulou
 Je sais qu’il fera un brillant député pour notre circonscription, et je suis fier d’être à ses côtés dans cette bataille	CBeaune
@Alain_Frachon : "Lorsque Poutine va aux JO en février dernier, il rencontre Xi Jinping et ils signent un communiqué commun, qui est un communiqué de bataille idéologique : il ne faut plus que l'ordre mondial ne soit gouverné par l'Occident	CZacharopoulou
4K views  0:01 / 1:55  44  468  1,097    Retweeted           Nouvelle Union Populaire Écologique et Sociale        @NUPES_2022_    ·  Jun 9   #AvecLaNUPES, nous bloquerons les prix de l'essence et des produits de première nécessité ! #France2022                           @     ·  Jun 9  Après avoir dit que la retraite serait à 65 ans, puis que rien n'était obligé, puis qu'on verrait d'ici à 2023, nous apprenons finalement que l'affaire serait réglée cet été	JLMelenchon
 Et ces gens viennent nous donner des leçons	JLMelenchon
         1,045  560  1,860                  @      ·  May 26            Toujours heureux de venir à la découverte du tissu entrepreneurial de nos villages, comme ici à l’occasion de la journée des entreprises à Saâcy- sur-Marne	franckriester
 De nombreux défis à relever!         23  67                   @     ·  Jun 10              Hommage à Frédéric Leclerc-Imhoff, et à tous les journalistes qui nous informent: votre travail est indispensable	MinColonna
fr  35	JLMelenchon
3K views  0:01 / 0:38  From     Bob le Centriste      148  558  1,437    Retweeted           Renaissance      @Renaissance_UE    ·  Jun 9  Quelle semaine  ! Accords sur :  Les salaires minimums  « Women on boards »  Le chargeur unique Votes sur :  Fin de la vente des voitures essence et diesel en 2035  Réciprocité dans l’accès aux marchés publics  Droit d’initiative du PE 1/2 #PFUE2022  4  47  102    Show this thread      Retweeted           Olivier Véran      @olivierveran    ·  Jun 9  Bloquer les prix, c’est inégalitaire	CBeaune
                           ·  21h            Excellente discussion avec S	CZacharopoulou
 Partagez avec #NUPES	JLMelenchon
 Un message d'amitié	MinColonna
com  EN DIRECT - Prise de parole de   - #NUPES  Rendez-vous ce jeudi 9 juin vers 16h pour une prise de parole de   en direct	JLMelenchon
 Et alors, la retraite pour eux, c'est 65 ans avec M	JLMelenchon
   @mbompard  #MelenchonMarseille #VcommeVictoire  Visit youtube	JLMelenchon
efs	CBeaune
 We are deeply grateful for your friendship	MinColonna
 Le coup de l’allocution sur le tarmac est raté après tant d’autres	JLMelenchon
 Il est arrivé en tête de la 5e circo de La Réunion	JLMelenchon
ly/3x9LDie  SOUND ON    912 views  0:01 / 1:45  1  15  32                           ·  Jun 9            Plaisir de vous revoir chère   @NOIweala  à l’occasion du #OECDMinisterial à Paris et de continuer à travailler ensemble	CZacharopoulou
         1,363  1,083  2,206                           ·  May 31            Face aux conséquences de la guerre en #Ukraine, le Président de l’  @_AfricanUnion  @Macky_Sall  appelle l’#UE & l’#Afrique à travailler ensemble pour assurer la sécurité alimentaire mondiale 	CZacharopoulou
 Merci au   @FAODG  QU Dongyu et à toute l’équipe pour votre accueil! #SDG2 #Food #FoodSecurity #EUAfricaPartnership   @_AfricanUnion                              FAO Brussels and 9 others  18  54                           ·  Apr 24            Félicitations Monsieur le Président! La #France et l’#Europe ont gagné ce soir!   #presidentielles2022 #Elections2022             	CZacharopoulou
9K views  0:00 / 0:56  305  364  692       Retweeted           Olivia Gregoire      @oliviagregoire    ·  Jun 13            Pas une seule voix ne doit aller à l’extrême-droite, pas une seule voix ne doit aller au Rassemblement national	CZacharopoulou
com  12	JLMelenchon
 Ce texte était bloqué depuis 10 ans    @MariePierreV  et #PFUE  25  273  759    Retweeted           Pascal Canfin      @pcanfin    ·  Jun 8  Le parlement européen vient de voter la fin de la vente des voitures non zero emissions en 2035!  302  302  945                  @     ·  Jun 9            Bon échange avec   @yjadot  ce matin au Parlement européen	CBeaune
 Le niveau lamentable de #France2 consterne	JLMelenchon
   @CNEWS  282	CZacharopoulou
         317  1,540  5,199                  @     ·  Jun 13   Ce lundi 13 juin, rendez-vous à 20h sur France 2 pour le #JT20h	JLMelenchon
   @EmmanuelMacron  @POTUS  @vonderleyen  @Macky_Sall  @PaulKagame  @NAkufoAddo  @GaviSeth  2,220 views  0:00 / 2:20  5  26  70                           ·  May 11            Heureuse d’être présente avec mes collègues députées  et beaucoup de militantes & militants au lancement de campagne de Pieyre-Alexandre Anglade à Bruxelles	CZacharopoulou
 L'amitié franco-espagnole est remarquable et notre dialogue essentiel	MinColonna
#NUPES  179	CBeaune
 Ça va prendre du temps, mais il y a un moment particulier	CZacharopoulou
fr  Le bateau coule Macron prend l'avion - Melenchon	JLMelenchon
fr  Législatives : quand la gauche lutte pour l’émancipation en France mais cautionne l’oppression	CBeaune
 #FARM  Quote Tweet     Macky Sall  @Macky_Sall   · May 31  Au nom de l’Union Africaine, je remercie les Dirigeants Européens qui m’ont associé à la réunion du Conseil européen pour échanger sur les solutions à la crise alimentaire engendrée par la guerre en Ukraine, qui impacte l’Afrique	CZacharopoulou
 #PFUE                                Présidence française du Conseil de l’UE   and 6 others  6  42  84                  @      ·  Jun 3            Arrivée au Conseil #Commerce de Luxembourg, pour confirmer les impulsions données depuis le 1er janvier, en faveur d’une politique commerciale ouverte, moins naïve et plus durable	franckriester
 → http://youtube	MinColonna
 La #Russie & la #Chine veulent renverser le modèle occidental & ses valeurs	CZacharopoulou
 » — @MariePierreV                    @      ·  Jun 3            Au Conseil #Commerce, nous avons réaffirmé notre solidarité  avec l'#Ukraine ce matin	franckriester
 Il n’est pas classé « #NUPES » par Darmanin mais « divers gauche »	JLMelenchon
7K views  0:01 / 1:07  999  2,921  7,039                  @     ·  Jun 10  #Macron a envoyé la gendarmerie au lycée pour sermonner la jeune femme qui l'a interpellé	JLMelenchon
	CBeaune
2K views  0:01 / 5:48  1,156  489  1,954                           ·  May 10            #AfganistanWomen #Kaboul  Quote Tweet     BFMTV  @BFMTV   · May 10  Afghanistan: des femmes manifestent à Kaboul contre un décret imposant le port du voile intégral  18	CZacharopoulou
6K views  0:01 / 5:21  7  65  186                   @     ·  Jun 10              #CoreeduSud | J'ai reçu ce matin Kim Gi-Hyeon, envoyé spécial pour l'Europe du Président coréen  	MinColonna
            and 2 others  3  24  89     Retweeted           Paris Peace Forum      @ParisPeaceForum    ·  Jun 8   “There is no place for wheat diplomacy	MinColonna
	MinColonna
 La coopération entre nos deux pays est déjà étroite, elle sera poursuivie	MinColonna
  264	CZacharopoulou
  Ukraine, urgence climatique, tension dans la région indopacifique	MinColonna
 Efficacité	franckriester
5K viewers  0:01 / 14:18          @   Prise de parole de   en réaction au discours d'Emmanuel Macron dans le Tarn    111  413  839    Show this thread                    @     ·  Jun 9   Ce jeudi 9 juin, rendez-vous à 16h00 pour une prise de parole !  Le direct sur Youtube : https://youtu	JLMelenchon
 Mais oui, il y a un problème avec la doctrine de maintien de l’ordre	JLMelenchon
4M views  0:01 / 0:21  2  14  30       Retweeted           SantéArmées      @santearmees    ·  Apr 29  Visite du Président de la République   @EmmanuelMacron  à l’hôpital d’instruction des armées #Percy	CZacharopoulou
